name,datetime,humidity,precip,precipcover,preciptype,sealevelpressure,temp,windspeed,windgust,winddir,cloudcover,conditions,description
uddevalla,8/23/2019,91.9,7.602,58.33,rain,1020.7,16,26.3,54.5,228.9,73,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,8/24/2019,83.8,0,0,,1025.4,17.4,19.5,40.6,244.4,52.1,Partially cloudy,Partly cloudy throughout the day.
uddevalla,8/25/2019,80.9,0,0,,1024.9,17.8,13.3,19,274.7,5.6,Clear,Clear conditions throughout the day.
uddevalla,8/26/2019,72.9,0,0,,1023.6,19.2,11,14.9,42.2,3.7,Clear,Clear conditions throughout the day.
uddevalla,8/27/2019,74.4,0.207,4.17,rain,1021.7,20.2,14.2,21.6,44,23.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
uddevalla,8/28/2019,93.7,22.605,62.5,rain,1015.8,18.4,11.7,51.9,75.8,50.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,8/29/2019,91.8,0.714,33.33,rain,1013.2,18.1,18,43.2,228.5,55.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,8/30/2019,82.8,0.145,12.5,rain,1019,16.1,21.2,43.2,218.7,45.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
uddevalla,8/31/2019,79,0,0,,1016.1,18.5,16.1,41.1,191.3,18,Clear,Clear conditions throughout the day.
uddevalla,9/1/2019,84.9,3.525,37.5,rain,1007.5,16.9,23.2,61.7,236.5,49.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,9/2/2019,78.6,2.197,41.67,rain,1012.5,13.4,27.9,58.1,237.4,36.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,9/3/2019,84.8,3.533,45.83,rain,1012.3,13.6,26.1,55,214.8,53.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,9/4/2019,91.5,9.5,58.33,rain,1009.7,13.4,22.2,58.1,191.3,78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,9/5/2019,81.7,2.551,54.17,rain,1003.9,13.2,22,49.3,237.5,49.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,9/6/2019,83.9,1.462,41.67,rain,1012.6,12,23.4,52.9,220.5,62.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,9/7/2019,88.9,8.479,70.83,rain,1013.4,12.8,18.2,56.5,206.9,67.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,9/8/2019,87.4,0,0,,1020.2,12.7,14,36,33.6,44.6,Partially cloudy,Partly cloudy throughout the day.
uddevalla,9/9/2019,92.2,0.728,25,rain,1016.4,13.6,11.4,36,47.7,93.8,"Rain, Overcast",Cloudy skies throughout the day with rain.
uddevalla,9/10/2019,94.1,5.843,54.17,rain,1009.6,15.8,13.2,28.3,49.1,73.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,9/11/2019,89.2,6.47,50,rain,1009.7,14.5,31,62.2,217.4,69.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,9/12/2019,82.5,0.86,25,rain,1015.1,14.5,30.7,55,245.3,34.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,9/13/2019,70.9,0.409,8.33,rain,1019.5,13.7,27.9,72,270,20.3,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
uddevalla,9/14/2019,74.3,1.359,25,rain,1024.1,12.9,28.9,64.8,258.7,28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,9/15/2019,78.8,15.424,41.67,rain,1005.4,13.2,41.8,92.6,251.2,44.4,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.
uddevalla,9/16/2019,60.1,0,0,,1007,12.3,29.3,70.4,277.1,3,Clear,Clear conditions throughout the day.
uddevalla,9/17/2019,72.5,0.834,25,rain,1003.9,9.4,24.9,68.4,301.4,28,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,9/18/2019,65.4,0,0,,1015.1,10,19.2,57.6,322.4,5.7,Clear,Clear conditions throughout the day.
uddevalla,9/19/2019,65.1,0,0,,1024,9,15,43.2,319.8,5.7,Clear,Clear conditions throughout the day.
uddevalla,9/20/2019,81.7,0.083,4.17,rain,1020.6,11.6,15.2,32.4,243.3,26.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
uddevalla,9/21/2019,77.4,0,0,,1018,14.5,11.9,25.2,248,8.2,Clear,Clear conditions throughout the day.
uddevalla,9/22/2019,91.5,0,0,,1016.4,12.7,19.1,47.8,95.7,67.5,Partially cloudy,Partly cloudy throughout the day.
uddevalla,9/23/2019,77.2,0,0,,1019.8,11.2,16.6,46.8,86,41.2,Partially cloudy,Partly cloudy throughout the day.
uddevalla,9/24/2019,87.1,0,0,,1015.4,9.1,10.5,32.4,78.5,58.7,Partially cloudy,Partly cloudy throughout the day.
uddevalla,9/25/2019,83.9,0,0,,1011.5,11.3,15,43.2,71.5,96.5,Overcast,Cloudy skies throughout the day.
uddevalla,9/26/2019,81.9,0,0,,1012.6,11.3,14.5,39.6,83.9,75.4,Partially cloudy,Partly cloudy throughout the day.
uddevalla,9/27/2019,93.2,25.209,75,rain,1006.6,11.9,25.4,50.4,110.4,87.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,9/28/2019,95.8,4.014,54.17,rain,1003.2,12.7,21,36,128.9,79.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,9/29/2019,93.9,6.153,58.33,rain,994.7,11.9,12.2,34.4,266.4,87.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,9/30/2019,89.6,0.673,20.83,rain,990.2,9.4,20.1,48.3,290.1,65.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,10/1/2019,69.3,0,0,,993.9,8.2,23.2,54,262,6.6,Clear,Clear conditions throughout the day.
uddevalla,10/2/2019,85,5.006,54.17,rain,998.6,6.5,30.2,54,13.7,64.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,10/3/2019,80.2,0.474,16.67,rain,1013.5,6.2,14.9,39.1,30.9,80.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,10/4/2019,84,2.956,54.17,rain,1015.3,4.4,18.7,43.2,66,70.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,10/5/2019,78,0.166,8.33,"rain,snow",1022.3,3.2,11,31.9,36,26.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.
uddevalla,10/6/2019,72.9,0.041,4.17,rain,1025,2.7,9.8,26.7,27.8,64.1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
uddevalla,10/7/2019,74.3,0,0,,1019.8,2.7,8.8,25.2,303.4,13.6,Clear,Clear conditions throughout the day.
uddevalla,10/8/2019,93,8.558,62.5,rain,1002.1,4.4,16.2,49.3,83.5,91.9,"Rain, Overcast",Cloudy skies throughout the day with rain.
uddevalla,10/9/2019,95.8,2.781,62.5,rain,997.6,7.9,13.1,35,285.9,90,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,10/10/2019,92.8,3.172,58.33,rain,999,9.4,12.2,44.2,236.9,74.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,10/11/2019,94,3.391,66.67,rain,997.3,10.2,19.7,46.8,222.3,70.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,10/12/2019,87.4,1.073,29.17,rain,997,10.6,29.7,52.2,237.8,64.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
uddevalla,10/13/2019,87.2,2.276,25,rain,1007,10.1,26.3,51.6,230.4,34.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,10/14/2019,91.8,14.005,58.33,rain,1006.4,8.8,22.5,63.7,27,98.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
uddevalla,10/15/2019,95.1,7.67,54.17,rain,1011.6,8.6,18.2,44.2,74.5,98.8,"Rain, Overcast",Cloudy skies throughout the day with rain.
uddevalla,10/16/2019,98.6,3.32,54.17,rain,1005.8,10.5,14.2,24.7,65.2,88.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,10/17/2019,98.4,4.676,58.33,rain,1007.4,9.5,10.5,27.2,78.5,96.3,"Rain, Overcast",Cloudy skies throughout the day with rain.
uddevalla,10/18/2019,96.9,3.824,50,rain,1006.1,9.5,14.5,45.2,113.3,83.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,10/19/2019,91.4,5.218,45.83,rain,1002.3,10.7,23.9,64.8,194.7,81.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,10/20/2019,94.8,6.517,54.17,rain,1008.8,10.1,15.5,34.4,221.6,78.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,10/21/2019,95.2,0,0,,1018.9,5.5,10.2,29.8,316.9,98.5,Overcast,Cloudy skies throughout the day.
uddevalla,10/22/2019,87.8,0.041,4.17,rain,1015.6,8.7,27.9,54,234.5,81.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
uddevalla,10/23/2019,83.4,0,0,,1015.4,10.9,24.6,51.4,231.4,85.5,Partially cloudy,Partly cloudy throughout the day.
uddevalla,10/24/2019,93.3,0.07,12.5,rain,1009.3,11,21.5,50.4,153.6,66.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,10/25/2019,84.4,2.9,54.17,rain,1005.9,10.4,33,71.5,225,71.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,10/26/2019,94,16.313,83.33,rain,1002.3,6.5,24.5,83.8,359.3,94.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
uddevalla,10/27/2019,91.2,4.93,75,rain,1003.5,5.4,18.1,64.2,294.4,68.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,10/28/2019,82.6,0.008,4.17,"rain,snow",1015.9,3.2,10.6,22.1,351.7,24.9,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.
uddevalla,10/29/2019,73.7,0,0,,1026.1,3.6,16.4,43.2,333,9.4,Clear,Clear conditions throughout the day.
uddevalla,10/30/2019,84.6,0.058,12.5,rain,1027.1,3.1,16.7,54,252.1,48.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
uddevalla,10/31/2019,83.2,0,0,,1021.9,5.2,16.3,32.4,263.4,5.7,Clear,Clear conditions throughout the day.
uddevalla,8/1/2020,73.4,0,0,,1016.9,18.3,10.5,19.2,68.9,25.5,Partially cloudy,Partly cloudy throughout the day.
uddevalla,8/2/2020,84.8,0.306,20.83,rain,1009.2,16,22.4,36.6,204.3,82.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
uddevalla,8/3/2020,73.2,0,0,,1008,15.6,24.3,40.3,236.1,36.5,Partially cloudy,Partly cloudy throughout the day.
uddevalla,8/4/2020,72.3,0,0,,1010.4,14.5,21.5,35.8,229.4,21,Partially cloudy,Partly cloudy throughout the day.
uddevalla,8/5/2020,90.8,3.538,70.83,rain,1013,13.2,24.4,47,184.9,77.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,8/6/2020,77.9,2.469,45.83,rain,1019.9,19.7,16.2,28.1,201.7,77.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,8/7/2020,64.9,0,0,,1023.5,21.7,15.4,25.8,176.3,45.7,Partially cloudy,Partly cloudy throughout the day.
uddevalla,8/8/2020,65.7,0,0,,1022.3,21.1,12,17.3,222.9,38,Partially cloudy,Partly cloudy throughout the day.
uddevalla,8/9/2020,72.9,0,0,,1020.7,20.3,9.5,15,298.9,7.9,Clear,Clear conditions throughout the day.
uddevalla,8/10/2020,81.3,0,0,,1021.7,18.6,15.6,24.8,50.3,63,Partially cloudy,Partly cloudy throughout the day.
uddevalla,8/11/2020,73.8,0.523,25,rain,1024.8,19.2,10.6,20,81.9,63.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
uddevalla,8/12/2020,73.6,0,0,,1022.9,19.2,13.8,21.3,234.9,27.3,Partially cloudy,Partly cloudy throughout the day.
uddevalla,8/13/2020,69.7,0,0,,1017.9,19.3,15.4,22.4,231,27.9,Partially cloudy,Partly cloudy throughout the day.
uddevalla,8/14/2020,69,0,0,,1014.7,19.9,16.2,23,226.9,20,Clear,Partly cloudy throughout the day.
uddevalla,8/15/2020,75.5,0,0,,1015.8,19.2,12.7,20.6,264.2,23,Partially cloudy,Clearing in the afternoon.
uddevalla,8/16/2020,72.5,0,0,,1016.1,19.9,11,17.9,306.8,5.2,Clear,Clear conditions throughout the day.
uddevalla,8/17/2020,70,0,0,,1013.2,20.7,13.5,17.9,26.5,28.8,Partially cloudy,Partly cloudy throughout the day.
uddevalla,8/18/2020,67.8,0.31,8.33,rain,1009.2,21.2,14,17.5,15.5,47.2,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.
uddevalla,8/19/2020,85.4,2.31,29.17,rain,1008.8,18.8,9.6,22.2,215.9,67.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
uddevalla,8/20/2020,83.7,2.928,33.33,rain,1009.9,18.7,18.5,28.4,170.9,61.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,8/21/2020,90.7,5.182,37.5,rain,1009.3,18.6,23.7,45.8,149,85.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,8/22/2020,86.7,5.462,41.67,rain,1005.7,17.5,21.2,49.5,207.7,57.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,8/23/2020,83.2,4.664,45.83,rain,1003.2,16,26.6,54,227.2,62.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,8/24/2020,66.7,0,0,,1005.9,14,22.6,37,255.5,38.4,Partially cloudy,Partly cloudy throughout the day.
uddevalla,8/25/2020,68.9,0.017,4.17,rain,1006.8,12.9,18.2,30.4,231.3,29.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
uddevalla,8/26/2020,82.1,1.43,41.67,rain,1001.5,12.7,16.6,40.3,70.4,93.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
uddevalla,8/27/2020,72.5,0,0,,1008.6,14.7,9.6,18.2,348,67.2,Partially cloudy,Partly cloudy throughout the day.
uddevalla,8/28/2020,79.6,2.51,25,rain,1007.9,13.1,17.2,29.7,99.4,57.9,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.
uddevalla,8/29/2020,85.5,1.284,54.17,rain,1004.7,13.7,19.4,37,47.6,92.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
uddevalla,8/30/2020,84.7,1.19,29.17,rain,1009.5,13.4,14.4,21,347.7,58.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,8/31/2020,71.1,0,0,,1017.2,12.2,15.8,25.6,354.4,13,Clear,Clear conditions throughout the day.
uddevalla,9/1/2020,78.3,0,0,,1022.3,12.5,15.6,23.1,20.2,9.1,Clear,Clear conditions throughout the day.
uddevalla,9/2/2020,76.8,0,0,,1021.2,13.6,15.5,25.1,41.5,48.8,Partially cloudy,Partly cloudy throughout the day.
uddevalla,9/3/2020,81,0.165,12.5,rain,1013.9,13.9,14.8,27.2,215.9,63.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
uddevalla,9/4/2020,78.8,1.55,41.67,rain,1009.1,15.4,29.6,47.9,226.3,77.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,9/5/2020,84.4,5.958,75,rain,1006.6,12.8,23.5,47.6,222.7,63.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,9/6/2020,75.4,2.449,29.17,rain,1007.9,13.1,25.8,43.4,238.2,49.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,9/7/2020,77.6,0.419,8.33,rain,1014,11.9,27.2,41,239.9,43.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,9/8/2020,80.5,2.245,37.5,rain,1010.3,14.8,31.9,55.1,243.8,75.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
uddevalla,9/9/2020,81.5,7.925,33.33,rain,1006.9,14.9,32.5,61.9,242.9,67.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,9/10/2020,61.8,0,0,,1012,12.1,22.3,47.4,273.7,21.7,Partially cloudy,Partly cloudy throughout the day.
uddevalla,9/11/2020,80.7,0.609,33.33,rain,1012.2,12.1,22.8,47.8,210.4,90,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,9/12/2020,85.5,6.333,54.17,rain,1007.2,13.4,32,62.7,228.3,69.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,9/13/2020,86.1,3.689,62.5,rain,1012.8,13.3,27.1,54.2,231,81.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,9/14/2020,87,0.008,4.17,rain,1019.7,16.3,27.2,48.2,233.1,64.6,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
uddevalla,9/15/2020,89.1,0,0,,1020.7,15.1,13.3,26.1,218.2,49.1,Partially cloudy,Partly cloudy throughout the day.
uddevalla,9/16/2020,74.4,0,0,,1016.8,13.7,25.4,50.8,312.3,62.6,Partially cloudy,Partly cloudy throughout the day.
uddevalla,9/17/2020,64.1,0,0,,1029.6,9.4,19.5,44.2,314.9,16.6,Clear,Clear conditions throughout the day.
uddevalla,9/18/2020,82,0,0,,1025.8,12.2,20.1,30.8,229.9,18.4,Clear,Clear conditions throughout the day.
uddevalla,9/19/2020,92.9,0,0,,1024.1,12.3,8.2,16.7,122.8,92.8,Overcast,Cloudy skies throughout the day.
uddevalla,9/20/2020,88.3,0,0,,1021.2,12.8,15.5,25,227.4,89.4,Partially cloudy,Partly cloudy throughout the day.
uddevalla,9/21/2020,86.5,0,0,,1015.4,13.4,25.5,43.4,222.5,94.5,Overcast,Cloudy skies throughout the day.
uddevalla,9/22/2020,78.3,0,0,,1008.3,13.5,24.4,42.6,222.5,91.1,Overcast,Cloudy skies throughout the day.
uddevalla,9/23/2020,80.6,0,0,,1001.3,14.1,18.9,30.3,183.3,61.6,Partially cloudy,Partly cloudy throughout the day.
uddevalla,9/24/2020,79.5,0.595,29.17,rain,997.4,14.2,32.6,54,182.2,71.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,9/25/2020,85.2,12.95,33.33,rain,1000.8,11.9,25.8,47.4,71.5,68.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,9/26/2020,94.4,21.578,62.5,rain,999.4,12.6,28.6,46.1,41.3,98,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
uddevalla,9/27/2020,93.9,0,0,,1011.2,12.7,27,45.8,38.1,99.9,Overcast,Cloudy skies throughout the day.
uddevalla,9/28/2020,91.8,0.551,8.33,rain,1013.8,12.6,18,35.9,51.4,98.9,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.
uddevalla,9/29/2020,86.1,2.404,25,rain,1015.9,13.3,11.6,22.5,177.3,80.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
uddevalla,9/30/2020,88,0,0,,1016.9,12,17.2,31.5,141.4,83.1,Partially cloudy,Partly cloudy throughout the day.
uddevalla,10/1/2020,89.1,0.082,8.33,rain,1013.4,11.3,20.6,34.4,72.3,81.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
uddevalla,10/2/2020,83.4,0,0,,1011.3,13.9,28.7,45.9,62.8,73.1,Partially cloudy,Partly cloudy throughout the day.
uddevalla,10/3/2020,85.7,0.124,8.33,rain,1008.3,13.4,26.4,50.6,62.4,96.2,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.
uddevalla,10/4/2020,91.6,18.634,45.83,rain,998,13.9,30.3,55.6,79.4,98.1,"Rain, Overcast",Cloudy skies throughout the day with rain.
uddevalla,10/5/2020,88.2,0.524,8.33,rain,1005.2,11.9,17.2,26.8,128.8,43.2,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
uddevalla,10/6/2020,92.1,4.924,62.5,rain,997.2,11.9,13.9,29.1,140.1,84.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,10/7/2020,91.6,5.41,66.67,rain,999.9,12,14.7,24.9,161.2,94.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
uddevalla,10/8/2020,91.2,12.643,87.5,rain,1005,11.5,18.8,31.3,200.1,88.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,10/9/2020,79.9,2.017,33.33,rain,1007.5,10.5,30.3,47.9,228.8,48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
uddevalla,10/10/2020,91.7,10.53,83.33,rain,1009,8.4,14.9,24.9,168.6,88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,10/11/2020,90.7,2.907,50,rain,1011.3,7.4,10.4,20,227.4,72.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
uddevalla,10/12/2020,87.5,0.397,25,rain,1012.8,8,12.9,18.9,218.3,57.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
uddevalla,10/13/2020,86.9,0,0,,1019.2,6.5,16.3,24.8,48.8,63.7,Partially cloudy,Partly cloudy throughout the day.
uddevalla,10/14/2020,76.7,0,0,,1025.7,6.7,24.6,47.9,35.9,78.8,Partially cloudy,Partly cloudy throughout the day.
uddevalla,10/15/2020,76.9,0,0,,1024.7,6.5,20.2,39.1,22.1,51.8,Partially cloudy,Partly cloudy throughout the day.
uddevalla,10/16/2020,82.8,0.017,4.17,rain,1024.6,5.8,16.3,28.1,17.2,45.8,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
uddevalla,10/17/2020,89.1,0.038,8.33,rain,1017.1,5.1,20.9,36.4,221.8,44.4,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.
uddevalla,10/18/2020,60.3,0,0,,1010.1,5.5,24.6,46,316.8,18.6,Clear,Clear conditions throughout the day.
uddevalla,10/19/2020,71.7,0,0,,1015.1,2.7,8.8,20.5,321.9,45,Partially cloudy,Partly cloudy throughout the day.
uddevalla,10/20/2020,90.6,5.336,83.33,"rain,snow",1011.5,6.2,19.3,41.1,124,97.4,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.
uddevalla,10/21/2020,95.7,6.014,75,rain,1001.4,10.6,16.2,31.5,170.7,99.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
uddevalla,10/22/2020,93.6,16.463,91.67,rain,995.5,11.3,22.3,45,234.2,97.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.
